epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.259,1.19728,3.8343,1.13389,0.89069,0.9127,0.95145,0.69851,1.0082,1.00332,1.07727,0.000207182,0.000207182,0.000207182
2,251.253,1.04866,1.04575,1.05468,0.93026,0.94478,0.96818,0.72163,0.97337,0.91534,1.0835,0.000405232,0.000405232,0.000405232
3,373.909,1.02942,0.81179,1.04968,0.92599,0.92371,0.97622,0.73484,0.95887,0.76717,1.09549,0.000592968,0.000592968,0.000592968
4,490.304,0.99708,0.71702,1.04665,0.96521,0.97971,0.98891,0.74876,0.90599,0.74098,1.04065,0.000578594,0.000578594,0.000578594
5,605.679,0.97814,0.65272,1.03419,0.98064,0.97415,0.98746,0.75361,0.9418,0.5893,1.07315,0.000563125,0.000563125,0.000563125
6,727.286,0.95197,0.60822,1.01878,0.96839,0.98494,0.98914,0.76515,0.90603,0.50305,1.03626,0.000547656,0.000547656,0.000547656
7,846.256,0.93634,0.5757,1.0164,0.98156,0.98257,0.98938,0.77696,0.85039,0.4768,1.01397,0.000532187,0.000532187,0.000532187
8,962.277,0.92182,0.55952,1.00811,0.96402,0.98765,0.98391,0.77333,0.871,0.75049,1.02083,0.000516719,0.000516719,0.000516719
9,1077.16,0.91383,0.5414,0.99971,0.98148,0.99755,0.99298,0.79262,0.83015,0.46086,0.98807,0.00050125,0.00050125,0.00050125
10,1196.12,0.88579,0.51581,0.98467,0.98579,0.99019,0.99345,0.78792,0.81378,0.4331,0.97556,0.000485781,0.000485781,0.000485781
11,1316.99,0.8583,0.49375,0.96887,0.99075,0.99578,0.99318,0.78769,0.83238,0.41675,0.97996,0.000470312,0.000470312,0.000470312
12,1439.22,0.86067,0.48305,0.96772,0.98772,0.99355,0.99388,0.79665,0.84385,0.40601,0.99903,0.000454844,0.000454844,0.000454844
13,1556.56,0.85475,0.46922,0.96461,0.99166,0.99468,0.9937,0.79971,0.81606,0.39859,0.97275,0.000439375,0.000439375,0.000439375
14,1670.83,0.84349,0.46895,0.96172,0.99282,0.98615,0.99379,0.80064,0.80606,0.39831,0.97143,0.000423906,0.000423906,0.000423906
15,1782.69,0.8315,0.45007,0.95739,0.99015,0.99553,0.99258,0.80593,0.80673,0.37908,0.97863,0.000408438,0.000408438,0.000408438
16,1902.88,0.82424,0.43726,0.94968,0.99091,0.99543,0.99385,0.80911,0.79127,0.37923,0.96303,0.000392969,0.000392969,0.000392969
17,2021.39,0.81635,0.43412,0.95052,0.99141,0.99539,0.99299,0.80635,0.78848,0.38106,0.95868,0.0003775,0.0003775,0.0003775
18,2139.23,0.82337,0.4289,0.95163,0.98962,0.99461,0.99369,0.82392,0.77666,0.37028,0.9538,0.000362031,0.000362031,0.000362031
19,2255.4,0.80522,0.4158,0.95067,0.9907,0.99303,0.99354,0.81308,0.79589,0.37721,0.96201,0.000346563,0.000346563,0.000346563
20,2372.94,0.78595,0.40322,0.93795,0.99302,0.99429,0.99375,0.82245,0.80193,0.36759,0.97666,0.000331094,0.000331094,0.000331094
21,2490.86,0.79977,0.41272,0.94409,0.99359,0.99556,0.9926,0.81393,0.78624,0.36394,0.96556,0.000315625,0.000315625,0.000315625
22,2602.85,0.78173,0.40203,0.93418,0.99123,0.99593,0.99319,0.81338,0.75647,0.35997,0.95201,0.000300156,0.000300156,0.000300156
23,2718.27,0.77438,0.38885,0.9315,0.9928,0.99598,0.99349,0.8207,0.77217,0.35351,0.95186,0.000284688,0.000284688,0.000284688
24,2833.45,0.76885,0.38906,0.92555,0.99229,0.99646,0.99336,0.82824,0.73215,0.33511,0.93248,0.000269219,0.000269219,0.000269219
25,2950.21,0.7597,0.3791,0.92483,0.99275,0.99406,0.99381,0.83131,0.76245,0.3378,0.95727,0.00025375,0.00025375,0.00025375
26,3063.07,0.74883,0.37427,0.92764,0.993,0.99663,0.99318,0.82976,0.74058,0.3288,0.94133,0.000238281,0.000238281,0.000238281
27,3177.12,0.75698,0.3744,0.93269,0.9931,0.99537,0.99399,0.84156,0.7265,0.3164,0.92431,0.000222813,0.000222813,0.000222813
28,3291.25,0.7471,0.35965,0.92555,0.99297,0.99755,0.994,0.8377,0.73674,0.3226,0.93306,0.000207344,0.000207344,0.000207344
29,3411.61,0.73461,0.35781,0.91453,0.99354,0.99638,0.99464,0.84064,0.71158,0.31596,0.91526,0.000191875,0.000191875,0.000191875
